id,type,"item id","item type","item owner id","item owner name","item owner email","layer id","layer title",title,coordinates,description,"image count",url,"created date","last modification date","last editor","edit count","read access","item views","Building Type",Agency,"Contact Person","Position of Contact","Phone Number",Email,"Has Waitlist","Estimated Wait Time","Has Maximum Duration of Stay","Maximum Duration of Stay","Number of Dormitory Beds","Number of Shared Bedroom Beds","Number of Single Bedroom Beds","Services Provided","Provides Case Management Services","Provides Referrals to other Agencies","Provides Health/Dental Care","Provides Meals","Provides Showers","Provides Storage","Provides Clothing/Household Goods","Other Services","Number of Studio/Bachelor Units","Number of 1 Bedroom Units","Number of 2 Bedroom Units","Number of 3 Bedroom Units","Number of 4 Bedroom Units","Number of Other Type Bedroom Units","Description of Other Type Bedroom Units","Housing is fully self contained (Bathroom/Kitchen)","Housing is fully furnished","Number Beds in house with shared bedroom(s)","Number of Beds in House with Individual Rooms","Number of Apartment Studio Units","Number of 1 Bedroom Apartment Units","Number of 2 and 3 Bedroom Apartment Units","Number of Other Units","Description of Other Type Houseing Units","Is the Building Under RTA?","Requires Damage Deposit","Damage Deposit Amount","Tenant Holds Lease","Number of Beds in Shared Accommodation House","Number of Units in Secondary House Suite","Number of Duplex Units","Number of Fourplex Units","Number of Townhouse Units","Provides Service to Males","Provides Service to Females","Provides Service to Transgender","Provides Services to Demographic: 16 - 18","Provides Services to Demographic: 19+","Provides Services to Demographic: 55+","Provides Service To Other Demographic","Can the key tenant or primary lease holder be a youth","Primary Target Residents are Individuals","Primary Target Residents are Families","Primary Target Residents are Individuals and Families","Potential residents are required to live in Kelowna for a certain amount of time","Building Accommodated Individuals with Disabilities","Some Units Accommodate Individuals with Disabilities","Exclusively Serves Aboriginal Community","Monthly Cost of Stay","The Units are RGI","Monthly Cost Calculation","Has Minimum Income Level","Has Maximum Income Level","Minimum Income Level","Maximum Income Level","Units Are Lower End of Market","Residents are Require to be on Income or Disability Assistance","Building Qualifies For Rental Assistance","Building is Pet Friendly","Pet Restrictions","Smoking is Permitted in Building","Smoking is Permitted in Units","Accommodations For Smoking","Residents are required to abstain from alcohol and drugs","Level of Drugs and Alcohol Tolerence","Clean Time Requirement","Length of Clean Time","Treatment/Detox Required First","Residents Require Professional Support for Eligibility","Supports Required For Eligibility","Referrals are Made Directly","Referrals Form","Demographic Served","Gender Served","Primary Target Resident",Logo,"Search Keywords","Wait Time Units",Website,"Social Media","Agency Contact Person","Position of Agency Contact","Contact Number","Contact Email","Office Hours"
3,marker,3,marker,994,"Super User",nickblackwell82@gmail.com,1,"Residential Services","Kelowna's Gospel Mission","49.8843669, -119.497992","The shelters is accessible every day of the year, with additional emergency overflow accommodations. All guests have access to showers, laundry and hygiene items, as well as three hot and nutritious meals every day.",0,"=HYPERLINK(""3"",""link to 3"")","2016-10-21 00:47:59","2017-06-29 18:39:45","Kerry Rempel",0,public,477,"[""emergency""]",61,"Phill Whatman","Manager - Emergency Services","(250) 864-0892",phill@kelownagospelmission.ca,false,0,true,21,100,0,0,"[""Meals"",""Storage"",""Clothing, Household Goods"",""Case Management"",""Referrals to other Agencies"",""Health\/Dental Care"",""Showers""]",,,,,,,,"[""laundry"",""Transitional Courtyard Storage""]",0,0,0,0,0,0,,false,true,0,0,0,0,0,40,"Emergency Mats",false,,,,,0,0,0,0,,,,,,,,false,,,,false,false,false,false,0,false,,false,false,0,0,false,false,false,true,"Dogs only - leave dog overnight in canine shelter",false,false,"Outdoors in the Courtyard",false,"[""Legal - Allowed back on site if intoxicated"",""Illegal - Allowed back on site if intoxicated""]",false,0,false,false,[],true,"Access to beds is on a first come/first served priority. Registration required at the Shelter.
Required to line up on Leon Avenue (10 am - 12:30 pm; 3:30 pm - 4:30 pm; 7 pm-8:30 pm)",19+,"[""Female"",""Male"",""Transgender""]","[""Individuals""]",,,,,,,,,,
14,marker,14,marker,997,"Brooks Hewko",brookshewko@hotmail.com,1,"Residential Services","Inn From The Cold","49.8799974, -119.4753764",,0,"=HYPERLINK(""14"",""link to 14"")","2016-11-01 15:52:00","2017-03-18 11:33:41","Kerry Rempel",0,public,150,"[""emergency""]",60,"Jan Schulz","Executive Director",250-448-6403,jan@innfromthecoldkelowna.org,false,0,false,0,35,0,0,"[""Case Management"",""Referrals to other Agencies"",""Meals"",""Showers"",""Storage""]",,,,,,,,"[""Referrals to Health\/Dental Care""]",0,0,0,0,0,0,,false,false,0,0,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,false,false,false,0,false,,false,false,0,0,false,false,false,true,,false,false,"Outside Accommodations",false,"[""Legal - Allowed back on site if intoxicated"",""Illegal - Allowed back on site if intoxicated""]",false,0,false,false,[],true,Website,19+,"[""Male"",""Female"",""Transgender""]","[""Individuals""]",,,,,,,,,,
18,marker,18,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Avonlea Care Centre Ltd.","49.8936748, -119.4617939","Caring for People With Acquired Brain Injuries.
Located in the beautiful sunny Okanagan city of Kelowna, BC. Close to hospitals and specialists, in community that offers a number of programs for growth, socialization and recreational opportunities",0,"=HYPERLINK(""18"",""link to 18"")","2016-11-01 16:04:08","2017-03-20 15:50:04","Brooks Hewko",0,public,124,"[""supportive""]",150,,"Tami Hennigar",(250)-762-4378,tami@avonleacare.com,true,0,false,0,0,0,0,"[""Referrals to other Agencies"",""Meals"",""Storage"",""Showers"",""Health\/Dental Care""]",,,,,,,,"[""Rehab department"",""24\/7 staff on site"",""Transportation to Appointments Provided for Residents""]",0,0,0,0,0,0,,false,false,0,14,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,8250,false,$275/day,false,false,0,0,false,false,false,true,,false,false,,true,[],false,0,false,false,[],false,"Community Living B.C (http://www.communitylivingbc.ca/individuals-families/support-for-adults/) & Interior Health (https://www.interiorhealth.ca/YourCare/HousingHealth/AssistedLiving/Pages/default.aspx).",19+,"[""Female"",""Transgender"",""Male""]","[""Individuals""]",,"Acquired Brain Injuries, housing",,,,,,,,
20,marker,20,marker,1032,"Jamie Walraven",manager@recoverykelowna.ca,1,"Residential Services","Ozanam Recovery House","49.8668343, -119.4879998","Ozanam Recovery House is a registered charity with services provided by the Society of Saint Vincent de Paul of Central Okanagan.

The Society of St. Vincent de Paul is a worldwide Catholic lay organization dedicated to helping the poor, the oppressed and the under-privileged regardless of race, colour or creed.",0,"=HYPERLINK(""20"",""link to 20"")","2016-11-01 16:37:32","2017-03-18 12:25:15","Jamie Walraven",0,public,38,"[""transitional""]",65,"Jamie Walraven",Manager,250-762-4673,manager@recoverykelowna.ca,true,30,true,0,0,0,0,"[""Case Management"",""Referrals to other Agencies"",""Health\/Dental Care"",""Meals"",""Showers"",""Storage""]",,,,,,,,"[""Counseling"",""Employment Services (through WorkBC)"",""laundry""]",0,0,0,0,0,0,,true,true,19,0,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,25+,false,,,,false,false,false,false,0,false,1120,true,false,750,0,false,false,false,false,,false,false,,true,"[""Illegal - Evict if using"",""Legal - Evict if using""]",true,0,true,false,[],true,"Individuals may self refer. See Organization website. (http://www.recoverykelowna.ca/referral-process/)",Other,"[""Male""]","[""Individuals""]",,"recovery house, men, addiction, housing, supportive housing, Catholic",,,,,,,,
21,marker,21,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Abbeyfield Orchard City, Kelowna Society","49.8859087, -119.4641983","Abbeyfield offers a warm, family-style House and a balance between privacy and companionship, security and independence, combined with the special caring element provided by dedicated volunteers and the support of a House Coordinator.",0,"=HYPERLINK(""21"",""link to 21"")","2016-11-01 16:39:25","2017-03-20 15:47:08","Brooks Hewko",0,public,182,"[""supportive""]",149,"Toni Thompson",Administrator,250-763-5254,,true,1,false,0,0,0,0,"[""Referrals to other Agencies"",""Meals"",""Showers"",""Storage""]",,,,,,,,[],0,0,0,0,0,0,,false,true,0,12,0,0,0,0,,false,,,,,0,0,0,0,,,,,,,55+,false,,,,false,true,true,false,1480,false,,false,false,0,0,false,false,false,true,,false,false,,false,"[""Legal - use allowed on site, in private unit"",""Legal - Not allowed back on site while intoxicated"",""Illegal - Evict if using""]",false,0,false,false,[],true,"In person",19+,"[""Transgender"",""Female"",""Male""]","[""Individuals""]",,"Senior Home",,,,,,,,
22,marker,22,marker,997,"Brooks Hewko",brookshewko@hotmail.com,1,"Residential Services","Rose Cottage","49.8688432, -119.492415","Rose Cottage Supportive Living Seniors Home is an independent living option for seniors while providing comfort and security. Our services include home cooking, three meals daily plus snacks and drinks, weekly laundry and cleaning services. ",0,"=HYPERLINK(""22"",""link to 22"")","2016-11-01 17:03:18","2017-03-18 12:34:39","Kerry Rempel",0,public,81,"[""supportive""]",67,"Kathy Orange",Manager,250-448-9833,kel.bc.rosecottage@gmail.com,true,0,false,0,0,0,0,"[""Meals"",""Showers"",""Storage""]",,,,,,,,"[""Laundry"",""Parking""]",0,0,0,0,0,0,,true,false,0,11,0,0,0,0,"1 Respite",false,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,715,false,,false,false,0,0,false,false,true,false,,false,false,"Outside Patio",true,"[""Legal - use allowed on site, in private unit""]",false,0,false,false,[],true,"Individual can self-refer through the organization website (http://www.rose-cottage-supportive-living.com/contact.html)",55+,"[""Male"",""Female"",""Transgender""]","[""Individuals"",""Couples""]",,,,,,,,,,
23,marker,23,marker,998,"Shelley Cook",shelley.cook@alumni.ubc.ca,1,"Residential Services","Tutt Street Place","49.8638593, -119.4899063",,0,"=HYPERLINK(""23"",""link to 23"")","2016-11-01 17:15:32","2017-03-17 10:42:25","Kerry Rempel",0,public,86,"[""transitional""]",78,"Ruby Scott","Building Manager","(250) 763-3876",ruby@nowcanada.ca,true,0,false,0,0,0,0,"[""Case Management"",""Referrals to other Agencies""]",,,,,,,,"[""employment services"",""Counseling"",""laundry"",""Transportation provided to Food Bank""]",0,0,0,0,0,0,,true,false,0,0,0,24,12,0,"3, 3 bed units also available",true,,,,,0,0,0,0,,,,,,,"serve 16 and older",true,,,,false,true,true,false,0,true,"30% of income",false,false,0,0,false,false,false,false,,false,true,,true,"[""Illegal - Evict if using"",""Legal - Evict if using"",""Legal - Not allowed back on site while intoxicated"",""Illegal - Not allowed back on site while intoxicated""]",true,0,false,false,[],true,"No formal referral is needed. Prospective tenants can pick up a form at the office or online at the NOW Canada website - https://www.nowcanada.ca/housing/",Other,"[""Female""]","[""Families"",""Individuals""]",,,,,,,,,,
24,marker,24,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Brookside Residence","49.8934573, -119.4563051"," ",0,"=HYPERLINK(""24"",""link to 24"")","2016-11-09 09:35:57","2017-03-20 16:01:10","Brooks Hewko",0,public,198,"[""rental"",""low income rental""]",50,"Stephen Bond",Owner,250-763-5707,Sbond@shaw.ca,false,0,false,0,0,0,0,"[""Showers"",""Storage""]",,,,,,,,"[""Parking"",""Coin operated laundry""]",0,0,0,0,0,0,,true,false,0,0,25,16,2,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,true,false,true,false,0,true,"30% of income",false,false,0,0,false,false,false,false,,false,false,,false,[],false,0,false,false,[],false,"Applications can be picked up on location.",55+,"[""Male"",""Female""]","[""Individuals"",""Couples""]",,,,,,,,,,
25,marker,25,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Fernbrae Manor","49.886106, -119.40948","Fernbrae Manor is superior retirement living with choices. It is a community that has all of the ingredients to make your retirement living as leisurely and comfortable as possible.",0,"=HYPERLINK(""25"",""link to 25"")","2016-11-09 10:51:18","2017-03-20 16:12:20","Brooks Hewko",0,public,164,"[""supportive""]",154,"Doug Watson","Sales and Marketing Director","(250) 863-0779; Office (250) 979-0600",dwatson@fernbraemanor.com,true,3,false,0,0,0,0,"[""Referrals to other Agencies"",""Meals"",""Showers"",""Parking"",""Laundry""]",,,,,,,,[],0,0,0,0,0,0,,false,false,0,0,81,105,0,0,,false,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,"$1785 - $2150",false,,false,false,0,0,false,false,true,false,,false,false,"outdoor area",false,"[""Legal - use allowed on site, in private unit"",""Legal - Allowed back on site if intoxicated"",""Illegal - Evict if using""]",false,0,true,false,[],true,"Pick up at the office",55+,"[""Female"",""Male""]","[""Individuals"",""Couples""]",,"Retirement home, senior home, 55+",months,,,,,,,
26,marker,26,marker,996,"Stephanie Nagy",stephanie.nagy@alumni.ubc.ca,1,"Residential Services","Brandt's Creek Mews","49.9206238, -119.4354069","Instead of a hospital-like structure, Brandt’s Creek Mews consists of several smaller, self contained “neighbourhoods” of care connected by a “Main Street” featuring amenities including hair salon, general store, café, library and technology centre. Administrative and support space is de-emphasized throughout the project while homelike features are prominent. There is a logical progression from public to semi-public to semi-private to private space throughout the residence, creating a feel of “home” for clients.",0,"=HYPERLINK(""26"",""link to 26"")","2016-11-09 11:06:27","2017-03-20 16:18:56","Brooks Hewko",0,public,104,"[""supportive""]",156,"Michelle Wingfield","Community Administrator","(778) 478-8805",mwingfield@insiteseniorcare.com,true,0,false,0,0,0,0,"[""Referrals to other Agencies"",""Health\/Dental Care"",""Meals""]",,,,,,,,"[""Counseling services"",""Laundry"",""Hair salon"",""cafe"",""library"",""general store"",""technology centre""]",0,0,0,0,0,0,,false,true,0,0,0,0,0,102,"residential care bed in private room",false,,,,,0,0,0,0,,,,,,,,false,,,,false,true,true,false,0,true,,false,false,0,0,false,false,false,false,,false,false,,true,[],false,0,false,false,[],false,"Most residents are placed by Interior Health with the exception of 2 private pay beds, which go through the organization directly.",55+,"[""Male"",""Female""]","[""Individuals""]",,"Senior Home",,,,,,,,
